,name,album,artist,duration_ms,popularity,img_album,external_url,id
33,Good Enough (feat. Jussie Smollett),Original Soundtrack from Season 1 of Empire (Deluxe),Empire Cast,230133,45,https://i.scdn.co/image/ab67616d00001e02b8e5d8ec029fdbf29a0a1e44,https://open.spotify.com/track/0iqY4f4lNp2Bh1rthklY1q,0iqY4f4lNp2Bh1rthklY1q
34,Need You Now - iTunes Session,Golden (Deluxe Edition),Lady A,242840,31,https://i.scdn.co/image/ab67616d00001e02d04d25a06f6e8318af27cb18,https://open.spotify.com/track/48fMhXcOogTNal9lbm2LwN,48fMhXcOogTNal9lbm2LwN
35,All In My Head (Flex) (feat. Fetty Wap),7/27 (Deluxe),Fifth Harmony,210573,61,https://i.scdn.co/image/ab67616d00001e02d03fa6f4e758282b7920b5c8,https://open.spotify.com/track/7nD9nN3jord9wWcfW3Gkcm,7nD9nN3jord9wWcfW3Gkcm
36,My Love (feat. T.I.),FutureSex/LoveSounds Deluxe Edition,Justin Timberlake,276160,72,https://i.scdn.co/image/ab67616d00001e02c68f26a3d34fbd0faed2b473,https://open.spotify.com/track/4NeOWqHmlrGRuBvsLJC9rL,4NeOWqHmlrGRuBvsLJC9rL
37,I Hate This Part,Doll Domination (Deluxe),The Pussycat Dolls,218400,64,https://i.scdn.co/image/ab67616d00001e026d87f7b4c9ef7218c07df53c,https://open.spotify.com/track/3tSuRiNgJmMqmYR23dCqnR,3tSuRiNgJmMqmYR23dCqnR
38,LoveStoned / I Think She Knows - Tiësto Remix,"12"" Masters - The Essential Mixes",Justin Timberlake,311373,35,https://i.scdn.co/image/ab67616d00001e02feb676131b157fde4ce4cd86,https://open.spotify.com/track/0YInrpVFC85pWh0xLzYbEx,0YInrpVFC85pWh0xLzYbEx
39,Sandman,America,America,308600,50,https://i.scdn.co/image/ab67616d00001e02afb855e6461310dff4046c56,https://open.spotify.com/track/14lDO5V0Ay0h1t8QTpbfi1,14lDO5V0Ay0h1t8QTpbfi1
40,Hey Tonight,Pendulum (Expanded Edition),Creedence Clearwater Revival,162853,60,https://i.scdn.co/image/ab67616d00001e0251f311c2fb06ad2789e3ff91,https://open.spotify.com/track/3UrGEZVC2bbMfVcI0DGOlB,3UrGEZVC2bbMfVcI0DGOlB
41,Immigrant Song - Remaster,Led Zeppelin III (Remaster),Led Zeppelin,146250,77,https://i.scdn.co/image/ab67616d00001e0290a50cfe99a4c19ff3cbfbdb,https://open.spotify.com/track/78lgmZwycJ3nzsdgmPPGNx,78lgmZwycJ3nzsdgmPPGNx
42,Whole Lotta Love - 1990 Remaster,Led Zeppelin II (1994 Remaster),Led Zeppelin,333893,76,https://i.scdn.co/image/ab67616d00001e02fc4f17340773c6c3579fea0d,https://open.spotify.com/track/0hCB0YR03f6AmQaHbwWDe8,0hCB0YR03f6AmQaHbwWDe8
43,Mercy,Illuminate (Deluxe),Shawn Mendes,208733,81,https://i.scdn.co/image/ab67616d00001e02ea3ef7697cfd5705b8f47521,https://open.spotify.com/track/0AS63m1wHv9n4VVRizK6Hc,0AS63m1wHv9n4VVRizK6Hc
44,Share That Love (feat. G-Eazy),Share That Love (feat. G-Eazy),Lukas Graham,172398,61,https://i.scdn.co/image/ab67616d00001e02c4866eacb879004598d826c1,https://open.spotify.com/track/44l9nnCVvOQBbWG6tDViKl,44l9nnCVvOQBbWG6tDViKl
45,Love Yourself,Purpose (Deluxe),Justin Bieber,233720,83,https://i.scdn.co/image/ab67616d00001e02f46b9d202509a8f7384b90de,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0,50kpGaPAhYJ3sGmk6vplg0
46,I Still Love You,I Still Love You,Jessie James Decker,224149,59,https://i.scdn.co/image/ab67616d00001e020cebe6550c673f80c68ca1ff,https://open.spotify.com/track/1OcrmjcHuoTw1O5QHOpTc2,1OcrmjcHuoTw1O5QHOpTc2
47,Please Don't Go (A Cappella),Please Don't Go (A Cappella),Joel Adams,206564,33,https://i.scdn.co/image/ab67616d00001e028b30bf245db9c34cb3d60d49,https://open.spotify.com/track/79PZiUsfya54vTA4ri22EG,79PZiUsfya54vTA4ri22EG
48,Party In The U.S.A.,The Time Of Our Lives,Miley Cyrus,202066,75,https://i.scdn.co/image/ab67616d00001e02d6c3ad6a2a27471e1d5e8103,https://open.spotify.com/track/5Q0Nhxo0l2bP3pNjpGJwV1,5Q0Nhxo0l2bP3pNjpGJwV1
49,You Rock My World - Radio Edit,Number Ones,Michael Jackson,265933,63,https://i.scdn.co/image/ab67616d00001e025dfb1bcbc7c58c52c9e5c0be,https://open.spotify.com/track/4oY2T9ur7Ll5b2kpBlcWcb,4oY2T9ur7Ll5b2kpBlcWcb
50,We Can't Stop,Bangerz (Deluxe Version),Miley Cyrus,231240,77,https://i.scdn.co/image/ab67616d00001e026b18d0490878750cd69abf2c,https://open.spotify.com/track/2y4lAQpi5VTNLu2ldeTdUH,2y4lAQpi5VTNLu2ldeTdUH
51,Titanium (feat. Sia),Nothing but the Beat 2.0,David Guetta,245040,68,https://i.scdn.co/image/ab67616d00001e02a197a2ef3ad6704d1f44aa4e,https://open.spotify.com/track/0lHAMNU8RGiIObScrsRgmP,0lHAMNU8RGiIObScrsRgmP
52,Shape of You - Galantis Remix,Shape of You (Galantis Remix),Ed Sheeran,195988,49,https://i.scdn.co/image/ab67616d00001e020ab4e483a469698633a70ce9,https://open.spotify.com/track/5H7CwzYZ60e7w69tX4ivQN,5H7CwzYZ60e7w69tX4ivQN
53,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Girl On Fire,Alicia Keys,270720,55,https://i.scdn.co/image/ab67616d00001e02224fb7911da5babdd968bf44,https://open.spotify.com/track/3XyMPyuWwHcGMvXeJY6Qt0,3XyMPyuWwHcGMvXeJY6Qt0
54,Swagger Jagger,Sticks & Stones,Cher Lloyd,191853,39,https://i.scdn.co/image/ab67616d00001e02392d37cdeccdcdb378fed318,https://open.spotify.com/track/4WC1QKJvvYiVtMTI1KgkzS,4WC1QKJvvYiVtMTI1KgkzS
55,Can't Hold Us (feat. Ray Dalton),The Heist,Macklemore & Ryan Lewis,258342,81,https://i.scdn.co/image/ab67616d00001e0298a02fef3a8b1d80a0f164ec,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn,3bidbhpOYeV4knp8AIu8Xn
56,Paradise,Mylo Xyloto,Coldplay,278719,83,https://i.scdn.co/image/ab67616d00001e02de0cd11d7b31c3bd1fd5983d,https://open.spotify.com/track/6nek1Nin9q48AVZcWs9e9D,6nek1Nin9q48AVZcWs9e9D
57,I'm Yours - Live on HSN Live,Spotify Sessions,Jason Mraz,243941,55,https://i.scdn.co/image/ab67616d00001e0271a0388dddc2aef9b1d66765,https://open.spotify.com/track/1j5cGcXWdHKTPQ2XgXODJI,1j5cGcXWdHKTPQ2XgXODJI
58,Breakeven,The Script,The Script,261426,73,https://i.scdn.co/image/ab67616d00001e02f33a9f529c12f79b116eb218,https://open.spotify.com/track/285hMzLhJwHVLe9QT9qilk,285hMzLhJwHVLe9QT9qilk
59,September Song,Raised Under Grey Skies (Deluxe),JP Cooper,220290,70,https://i.scdn.co/image/ab67616d00001e02c27b53492a2ee7fcebd74d6e,https://open.spotify.com/track/0zbzrhfVS9S2TszW3wLQZ7,0zbzrhfVS9S2TszW3wLQZ7
60,Please Don't Stop The Rain,"Songs For You, Truths For Me",James Morrison,234266,37,https://i.scdn.co/image/ab67616d00001e02975e84803d32155d822a3160,https://open.spotify.com/track/1oKwSREiOeE1bNDO2clP1c,1oKwSREiOeE1bNDO2clP1c
61,Lego House,+,Ed Sheeran,185093,72,https://i.scdn.co/image/ab67616d00001e02ed139c2e0e3681cc2d35e256,https://open.spotify.com/track/5ubHAQtKuFfiG4FXfLP804,5ubHAQtKuFfiG4FXfLP804
62,Home - 2019 - Remaster,Up From Below (10th Anniversary Edition) [2019 - Remaster],Edward Sharpe & The Magnetic Zeros,306373,67,https://i.scdn.co/image/ab67616d00001e0274a6778deef25cbf7195dfb6,https://open.spotify.com/track/7KWGfnsUU4Ri46TIvjpAPx,7KWGfnsUU4Ri46TIvjpAPx
63,Big Sur (feat. Rogê) - Brasil Version,Sunsets For Somebody Else & Big Sur (Brasil Versions),Jack Johnson,221896,48,https://i.scdn.co/image/ab67616d00001e02f24c76ed99f8d837d41d508e,https://open.spotify.com/track/5bgE7ijS2Hm6A1FeGgKBYB,5bgE7ijS2Hm6A1FeGgKBYB
64,Someday,Human (Deluxe),OneRepublic,187888,75,https://i.scdn.co/image/ab67616d00001e022e2889865b7b05955c1d3bcf,https://open.spotify.com/track/6aDsgHPZsMztSbZernzlF8,6aDsgHPZsMztSbZernzlF8
65,One Life,= (Tour Edition),Ed Sheeran,231546,68,https://i.scdn.co/image/ab67616d00001e02737c1bef4d45db62ac6dd2f1,https://open.spotify.com/track/5DXKvETa1xppOmd4CDxs9S,5DXKvETa1xppOmd4CDxs9S
66,i don't wanna know,i don't wanna know,GOLDHOUSE,200000,54,https://i.scdn.co/image/ab67616d00001e027daa864db10e1f233859749d,https://open.spotify.com/track/41GNtUM0nuTeL9qxMD9ifk,41GNtUM0nuTeL9qxMD9ifk
67,Babylon,White Ladder,David Gray,265666,64,https://i.scdn.co/image/ab67616d00001e02d53ec2e07184f28ac9ed2a99,https://open.spotify.com/track/1sEDn0QkcjWGVoti0Da4kA,1sEDn0QkcjWGVoti0Da4kA
68,Holiday In Spain,Hard Candy,Counting Crows,228746,37,https://i.scdn.co/image/ab67616d00001e02f3b9f2d9b3317375a1d24135,https://open.spotify.com/track/4ruWQbEKkM4Jx4OAzQ791o,4ruWQbEKkM4Jx4OAzQ791o
69,Fields Of Gold,Songbird,Eva Cassidy,282093,60,https://i.scdn.co/image/ab67616d00001e021c4065a9759d1fcc6c6ea4b1,https://open.spotify.com/track/5vtOJrmovXGxGsnAck694H,5vtOJrmovXGxGsnAck694H
70,Cannonball,O,Damien Rice,310000,47,https://i.scdn.co/image/ab67616d00001e025699ca5a7af862fa5a522016,https://open.spotify.com/track/3JiiqMYLbnHa1qys1JOpFK,3JiiqMYLbnHa1qys1JOpFK
